_id,Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Додатковий рівень,Категорія об’єкта,Назва об’єкта
1,UA01000000000013043,"","","","",O,Автономна Республіка Крим
2,UA01000000000013043,UA01020000000022387,"","","",P,Бахчисарайський
3,UA01000000000013043,UA01020000000022387,UA01020010000048857,"","",H,Андріївська 
4,UA01000000000013043,UA01020000000022387,UA01020010000048857,UA01020010010075540,"",C,Андріївка
5,UA01000000000013043,UA01020000000022387,UA01020010000048857,UA01020010020030666,"",X,Сонячний
6,UA01000000000013043,UA01020000000022387,UA01020030000085835,"","",H,Ароматненська 
7,UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030010043419,"",C,Ароматне
8,UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030020095516,"",C,Вікторівка
9,UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030030055891,"",C,Маловидне
10,UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030040087481,"",C,Рєпіне
11,UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030050049624,"",C,Розове
12,UA01000000000013043,UA01020000000022387,UA01020050000056842,"","",H,Бахчисарайська 
13,UA01000000000013043,UA01020000000022387,UA01020050000056842,UA01020050010045207,"",M,Бахчисарай
14,UA01000000000013043,UA01020000000022387,UA01020050000056842,UA01020050020067441,"",T,Научний
15,UA01000000000013043,UA01020000000022387,UA01020070000057731,"","",H,Верхньосадівська 
16,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070010032091,"",C,Верхньосадове
17,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070020014815,"",C,Дальнє
18,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070030047085,"",C,Камишли
19,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070040094944,"",C,Пироговка
20,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070050086891,"",C,Поворотне
21,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070060053271,"",C,Фронтове
22,UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070070045196,"",C,Фруктове
23,UA01000000000013043,UA01020000000022387,UA01020090000085519,"","",H,Верхоріченська 
24,UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090010083010,"",C,Верхоріччя
25,UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090020067096,"",C,Баштанівка
26,UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090030041920,"",C,Кудрине
27,UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090040049851,"",C,Машине
28,UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090050034207,"",C,Передущельне
141,UA01000000000013043,UA01020000000022387,UA01020470000045027,"","",H,Углівська 
29,UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090060030677,"",C,Синапне
30,UA01000000000013043,UA01020000000022387,UA01020110000025392,"","",H,Вілінська 
31,UA01000000000013043,UA01020000000022387,UA01020110000025392,UA01020110010021583,"",C,Віліне
32,UA01000000000013043,UA01020000000022387,UA01020110000025392,UA01020110020095792,"",C,Розсадне
33,UA01000000000013043,UA01020000000022387,UA01020130000011846,"","",H,Голубинська 
34,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130010087113,"",C,Голубинка
35,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130020090866,"",C,Аромат
36,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130030030071,"",C,Багата Ущелина
37,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130040048667,"",C,Нижня Голубинка
38,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130050032578,"",C,Новопілля
39,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130060054004,"",C,Поляна
40,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130070069789,"",C,Путилівка
41,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130080078137,"",C,Соколине
42,UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130090090603,"",C,Сонячносілля
43,UA01000000000013043,UA01020000000022387,UA01020150000013553,"","",H,Долинненська 
44,UA01000000000013043,UA01020000000022387,UA01020150000013553,UA01020150010060092,"",C,Долинне
45,UA01000000000013043,UA01020000000022387,UA01020150000013553,UA01020150020085470,"",C,Актачи
46,UA01000000000013043,UA01020000000022387,UA01020150000013553,UA01020150030038136,"",C,Новеньке
47,UA01000000000013043,UA01020000000022387,UA01020170000026113,"","",H,Залізничненська 
48,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170010043902,"",C,Залізничне
49,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170020089142,"",C,Білокам’яне
50,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170030079411,"",C,Дачне
51,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170040066352,"",C,Мостове
52,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170050089604,"",C,Річне
53,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170060067566,"",C,Тургенєвка
54,UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170070056496,"",X,Сирень
55,UA01000000000013043,UA01020000000022387,UA01020190000077808,"","",H,Зеленівська 
56,UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190010051671,"",C,Зелене
57,UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190020045232,"",C,Богатир
58,UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190030083840,"",C,Многоріччя
59,UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190040049837,"",C,Нагірне
60,UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190050073256,"",C,Плотинне
61,UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190060074109,"",C,Щасливе
62,UA01000000000013043,UA01020000000022387,UA01020210000031011,"","",H,Інкерманська 
63,UA01000000000013043,UA01020000000022387,UA01020210000031011,UA01020210010017308,"",M,Інкерман
64,UA01000000000013043,UA01020000000022387,UA01020230000086125,"","",H,Качинська 
65,UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230010099876,"",T,Кача
66,UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230020084271,"",C,Вишневе
67,UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230030045170,"",C,Орлівка
68,UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230040072585,"",C,Осипенко
69,UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230050045167,"",C,Полюшко
70,UA01000000000013043,UA01020000000022387,UA01020250000083187,"","",H,Каштанівська 
71,UA01000000000013043,UA01020000000022387,UA01020250000083187,UA01020250010041753,"",C,Каштани
72,UA01000000000013043,UA01020000000022387,UA01020250000083187,UA01020250020012476,"",C,Відрадне
73,UA01000000000013043,UA01020000000022387,UA01020250000083187,UA01020250030075002,"",C,Кочергіне
74,UA01000000000013043,UA01020000000022387,UA01020250000083187,UA01020250040058984,"",C,Шевченкове
75,UA01000000000013043,UA01020000000022387,UA01020270000095791,"","",H,Красномацька 
76,UA01000000000013043,UA01020000000022387,UA01020270000095791,UA01020270010094080,"",C,Красний Мак
77,UA01000000000013043,UA01020000000022387,UA01020270000095791,UA01020270020068295,"",C,Залісне
78,UA01000000000013043,UA01020000000022387,UA01020270000095791,UA01020270030032403,"",C,Ходжа Сала
79,UA01000000000013043,UA01020000000022387,UA01020270000095791,UA01020270040076507,"",C,Холмівка
80,UA01000000000013043,UA01020000000022387,UA01020290000023695,"","",H,Куйбишевська
81,UA01000000000013043,UA01020000000022387,UA01020290000023695,UA01020290010096881,"",T,Албат
82,UA01000000000013043,UA01020000000022387,UA01020290000023695,UA01020290020050353,"",C,Велике Садове
83,UA01000000000013043,UA01020000000022387,UA01020290000023695,UA01020290030054725,"",C,Високе
84,UA01000000000013043,UA01020000000022387,UA01020290000023695,UA01020290040021024,"",C,Мале Садове
85,UA01000000000013043,UA01020000000022387,UA01020290000023695,UA01020290050070320,"",C,Отарчик
86,UA01000000000013043,UA01020000000022387,UA01020290000023695,UA01020290060054662,"",C,Танкове
87,UA01000000000013043,UA01020000000022387,UA01020310000028500,"","",H,Орлинівська 
88,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310010021633,"",C,Орлине
89,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310020049917,"",C,Гончарне
90,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310030041665,"",C,Кизилове
91,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310040035606,"",C,Новобобрівське
92,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310050051155,"",C,Озерне
93,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310060088260,"",C,Павлівка
94,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310070070381,"",C,Передове
95,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310080015829,"",C,Підгірне
96,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310090018188,"",C,Резервне
97,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310100043613,"",C,Родниківське
98,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310110010004,"",C,Розсошанка
99,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310120097167,"",C,Тилове
100,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310130018566,"",C,Узунджи
101,UA01000000000013043,UA01020000000022387,UA01020310000028500,UA01020310140094275,"",C,Широке
102,UA01000000000013043,UA01020000000022387,UA01020330000026857,"","",H,Піщанівська 
103,UA01000000000013043,UA01020000000022387,UA01020330000026857,UA01020330010077491,"",C,Піщане
104,UA01000000000013043,UA01020000000022387,UA01020330000026857,UA01020330020049762,"",C,Берегове
105,UA01000000000013043,UA01020000000022387,UA01020350000012924,"","",H,Плодівська 
106,UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350010083152,"",C,Плодове
107,UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350020055481,"",C,Брянське
108,UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350030066553,"",C,Гірка
109,UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350040061533,"",C,Дібрівка
110,UA01000000000013043,UA01020000000022387,UA01020350000012924,UA01020350050012107,"",C,Дорожнє
111,UA01000000000013043,UA01020000000022387,UA01020370000098913,"","",H,Поштівська 
112,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370010082919,"",T,Поштове
113,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370020017519,"",C,Завітне
114,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370030073511,"",C,Зубакіне
115,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370040066972,"",C,Казанки
116,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370050048874,"",C,Малинівка
117,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370060014747,"",C,Нововасилівка
118,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370070047245,"",C,Новопавлівка
119,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370080064174,"",C,Приятне Свідання
120,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370090059007,"",C,Ростуче
121,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370100079082,"",C,Самохвалове
122,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370110050872,"",C,Севастянівка
123,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370120034950,"",C,Тополі
124,UA01000000000013043,UA01020000000022387,UA01020370000098913,UA01020370130021249,"",X,Стальне
125,UA01000000000013043,UA01020000000022387,UA01020390000023946,"","",H,Скалистівська 
126,UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390010087353,"",C,Скалисте
127,UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390020089381,"",C,Глибокий Яр
128,UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390030068062,"",C,Прохладне
129,UA01000000000013043,UA01020000000022387,UA01020390000023946,UA01020390040022064,"",C,Трудолюбівка
130,UA01000000000013043,UA01020000000022387,UA01020410000012183,"","",H,Табачненська 
131,UA01000000000013043,UA01020000000022387,UA01020410000012183,UA01020410010079227,"",C,Табачне
132,UA01000000000013043,UA01020000000022387,UA01020430000077222,"","",H,Тернівська 
133,UA01000000000013043,UA01020000000022387,UA01020430000077222,UA01020430010015851,"",C,Тернівка
134,UA01000000000013043,UA01020000000022387,UA01020430000077222,UA01020430020041589,"",C,Рідне
135,UA01000000000013043,UA01020000000022387,UA01020450000039196,"","",H,Тінистівська 
136,UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450010047517,"",C,Тінисте
137,UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450020080220,"",C,Айвове
138,UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450030044282,"",C,Красна Зоря
139,UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450040029353,"",C,Некрасовка
140,UA01000000000013043,UA01020000000022387,UA01020450000039196,UA01020450050043908,"",C,Суворове
142,UA01000000000013043,UA01020000000022387,UA01020470000045027,UA01020470010027281,"",C,Углове
143,UA01000000000013043,UA01040000000069938,"","","",P,Білогірський
144,UA01000000000013043,UA01040000000069938,UA01040010000012643,"","",H,Ароматнівська 
145,UA01000000000013043,UA01040000000069938,UA01040010000012643,UA01040010010075410,"",C,Ароматне
146,UA01000000000013043,UA01040000000069938,UA01040010000012643,UA01040010020047319,"",C,Красногірське
147,UA01000000000013043,UA01040000000069938,UA01040010000012643,UA01040010030032536,"",C,Курортне
148,UA01000000000013043,UA01040000000069938,UA01040030000094499,"","",H,Багатівська 
149,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030010054698,"",C,Багате
150,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030020054426,"",C,Горлинка
151,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030030079308,"",C,Красна Слобода
152,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030040031736,"",C,Мелехове
153,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030050078807,"",C,Поворотне
154,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030060066182,"",C,Руське
155,UA01000000000013043,UA01040000000069938,UA01040030000094499,UA01040030070095548,"",C,Черемисівка
156,UA01000000000013043,UA01040000000069938,UA01040050000043618,"","",H,Білогірська 
157,UA01000000000013043,UA01040000000069938,UA01040050000043618,UA01040050010076142,"",M,Білогірськ
158,UA01000000000013043,UA01040000000069938,UA01040070000067477,"","",H,Василівська 
159,UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070010033033,"",C,Василівка
160,UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070020055528,"",C,Малинівка
161,UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070030047836,"",C,Некрасове
162,UA01000000000013043,UA01040000000069938,UA01040070000067477,UA01040070040034784,"",C,Павлівка
